country,countryname,year,PopulismScore,LeftPopulismScore,RightPopulismScore
150,Argentina,1989,0.3227113993590657,0.300185836524089,0.2691498919133809
150,Argentina,1995,0.1096404954099695,0.05263468705798283,0.1096404954099695
150,Argentina,1999,0.09609638460533336,0.005041149898380901,0.09609638460533336
150,Argentina,2003,0.3164297765215814,0.2118958954822074,0.3131365987811416
150,Argentina,2007,0.3026871592479301,0.283768976966817,0.2970652344030525
150,Argentina,2009,0.2470493065617958,0.2267034085565292,0.2438563083833049
150,Argentina,2011,0.2216516339929072,0.2114497817952576,0.1505480318210013
150,Argentina,2013,0.2204310741081893,0.2204310741081893,0.1570512687654884
150,Argentina,2015,0.3428535693069252,0.2156760066317459,0.2475205267854864
150,Argentina,2019,0.1930179244588367,0.1485314099744743,0.1766150477212943
63,Australia,2001,0.1563363291423651,0.01562189552770128,0.1563363291423651
63,Australia,2004,0.4185764350126032,0.08200613489091571,0.4185764350126032
63,Australia,2007,0.4636097422018729,0.1421267989074336,0.4636097422018729
63,Australia,2010,0.3513472984089556,0.1958243472360025,0.3317723531854762
63,Australia,2013,0.3164245997198024,0.1181749481990568,0.31249321564282
63,Australia,2016,0.2131252369058468,0.07508003721862173,0.2067478241886886
63,Australia,2019,0.2968866624400173,0.2963595612537461,0.1571252245841683
63,Australia,2022,0.2027921628177984,0.05073907837401622,0.2027921628177984
42,Austria,1999,0.4961206182328573,0.1417483052982323,0.4961206182328573
42,Austria,2002,0.3876105624257142,0.1662133265450649,0.3876105624257142
42,Austria,2006,0.4572347543976191,0.3173238040773882,0.4572347543976191
42,Austria,2008,0.487991346865918,0.2773930355200306,0.4867495920696032
42,Austria,2013,0.4926050992678413,0.3972456324972623,0.4406620665635397
42,Austria,2017,0.5994700592373123,0.3383314213656026,0.4851849471680822
42,Austria,2019,0.5222881258678997,0.366142711960354,0.4451221833861271
21,Belgium,2007,0.295387893506278,0.1935421123487597,0.2661909159351697
21,Belgium,2010,0.3241087483269378,0.2320860515312604,0.2757994314432234
21,Belgium,2014,0.3102341597537857,0.1930993463912635,0.25254670506
21,Belgium,2019,0.4694450382170092,0.3250216734931768,0.3628530314778661
180,Brazil,1989,0.3049142047833148,0.2296593037016235,0.2564717237433258
180,Brazil,1994,0.3076092956307533,0.2595281239626421,0.263275304681732
180,Brazil,1998,0.4110285241762033,0.2181012368900855,0.4110285241762033
180,Brazil,2002,0.3739189877490359,0.2560368140344901,0.3568160109926809
180,Brazil,2006,0.4470184935030697,0.126617517254309,0.4228136074893834
180,Brazil,2010,0.4029980490451923,0.2391083984065553,0.398486093284066
180,Brazil,2014,0.35504008090126993,0.07946972509976916,0.35504008090126993
180,Brazil,2018,0.4459279711304091,0.2298056086298305,0.3462020751742594
180,Brazil,2022,0.410069858808385,0.2199315144835709,0.3263251941838757
80,Bulgaria,2009,0.1286274957307302,0.06142650771627502,0.1286274957307302
80,Bulgaria,2013,0.3219287270160247,0.2556385638516697,0.2517839234371502
80,Bulgaria,2014,0.2469851687309259,0.09875532568454856,0.2412788589420922
80,Bulgaria,2017,0.2927538450278633,0.08745596751791046,0.287118626894
62,Canada,2004,0.4280006502311111,0.121569538872619,0.4280006502311111
62,Canada,2006,0.3550684845930737,0.1653773261916089,0.3425343860457143
62,Canada,2008,0.3928938287768818,0.2710454775214104,0.3838693568452343
62,Canada,2011,0.2764984152062223,0.1054735469169493,0.2764984152062223
62,Canada,2015,0.3470326236647538,0.2077374076420958,0.2906619961481672
62,Canada,2019,0.3696987421442866,0.1110369365171907,0.3590557010076285
62,Canada,2021,0.2874852795296339,0.09240210717771581,0.2874852795296339
155,Chile,1989,0.4787073898144443,0.2229832680332706,0.4089827020444444
155,Chile,1993,0.2852187609277778,0.11254633958650791,0.2279813399111111
155,Chile,1999,0.2169566885666667,0.03384509125699853,0.2169566885666667
155,Chile,2005,0.3655514996638273,0.159239236073956,0.343953465816508
155,Chile,2009,0.2273751116825396,0.1032598536825396,0.2063120997442002
155,Chile,2013,0.1482635778688745,0.1064004004251107,0.1329570423404762
155,Chile,2017,0.2659999721693601,0.1683157780888401,0.1996343903489254
155,Chile,2021,0.4803378868114965,0.2803610592418777,0.3260272715997029
55,Cyprus,2006,0.3753367451421256,0.3277228484937425,0.3195652892680172
55,Cyprus,2011,0.3838783353333143,0.3388796852094261,0.3287358780386985
55,Cyprus,2016,0.5401744544728606,0.3358253539453582,0.4756695997358419
82,Czech Republic,2002,0.07106614259633334,0.0652055529355017,0.07106614259633334
82,Czech Republic,2006,0.2936423386904762,0.07381741942593072,0.2873927403361904
82,Czech Republic,2010,0.418168707094127,0.1474933912514982,0.418168707094127
82,Czech Republic,2013,0.3226976830200826,0.1568297387384089,0.3203865729117144
82,Czech Republic,2017,0.4107097879159628,0.2756836855970066,0.3917048499798254
13,Denmark,1998,0.5319049196573787,0.337828963819821,0.5149958321063248
13,Denmark,2001,0.1118354411860317,0.05984792365411147,0.1118354411860317
13,Denmark,2005,0.4244104153100173,0.3105939896098289,0.3968937017297259
13,Denmark,2007,0.4547080523238637,0.3945435127826027,0.4165951276094506
13,Denmark,2011,0.4176467032648837,0.2672585102567629,0.3726828808811117
13,Denmark,2015,0.5213781589780017,0.3706330732134032,0.488041371193172
13,Denmark,2019,0.3822570236751131,0.2935742689860103,0.3517899239055459
83,Estonia,1999,0.09068849514561904,0.0833648468183514,0.09068849514561904
83,Estonia,2007,0.2574443260534433,0.1431789554009663,0.2574443260534433
83,Estonia,2011,0.2635268469988803,0.08438058233577228,0.2635268469988803
83,Estonia,2015,0.3338522874106302,0.2030410188356402,0.3338522874106302
83,Estonia,2019,0.2964839045057143,0.04633342694243216,0.2964839045057143
14,Finland,2007,0.336101282055197,0.237102556413482,0.3153628160679243
14,Finland,2011,0.4303971010193056,0.2266427940596085,0.3982044427750123
14,Finland,2015,0.4788653843144969,0.164888866295302,0.4720533704944017
14,Finland,2019,0.4411680703534676,0.2349548800484434,0.4115448273678761
31,France,2012,0.4135898071218088,0.2250678746324593,0.3880555827146275
31,France,2017,0.4474105764190743,0.24779684966538781,0.4244457592797327
31,France,2022,0.4423820615106714,0.2523062372151046,0.4377708739517204
41,Germany,1998,0.2431367794935988,0.0624403206254223,0.2209877488303687
41,Germany,2002,0.1337742568394762,0.0490141538444978,0.116649463352
41,Germany,2005,0.242912380992762,0.1065843916980476,0.2066394108689524
41,Germany,2009,0.3602760889893333,0.247627956293,0.2603903263713333
41,Germany,2013,0.3144653358804446,0.2842671018497364,0.2123650463871112
41,Germany,2017,0.3168943237647316,0.2340761337923213,0.2708594838878571
41,Germany,2021,0.3816953702974969,0.2693039125606283,0.3134186470599999
41,Germany,2025,0.4516036292188605,0.2236590980632722,0.3920402495434476
34,Greece,1996,0.04101954765185246,0.04101954765185246,0.02605557258703906
34,Greece,2004,0.141478154771103,0.09413820549973789,0.1235876873077485
34,Greece,2007,0.2921495467891381,0.2367070159089916,0.2413196201958309
34,Greece,2009,0.3279460272315396,0.2956809967369993,0.2906713595603497
34,Greece,2012,0.4903000292334032,0.4699172058695585,0.3627470917954222
34,Greece,2015,0.3482189759007082,0.3067438271622099,0.2560244293370046
34,Greece,2019,0.3528177878347979,0.2663328500253579,0.3113492521395582
34,Greece,2023,0.336154187648271,0.2310115269860091,0.2816776743068126
86,Hungary,1994,9.379496000000003e-4,6.158106666666636e-5,9.379496000000003e-4
86,Hungary,1998,0.010431341216,0.007657950712333332,0.010431341216
86,Hungary,2002,0.08528665507657812,0.07492371540578424,0.07421133976285714
86,Hungary,2006,0.3196319201909524,0.08202734615476183,0.3196319201909524
86,Hungary,2010,0.6094241630077897,0.1922062639605955,0.6094153111871059
86,Hungary,2014,0.5535107969830952,0.3187464360871823,0.5535107969830952
86,Hungary,2018,0.6607483994648604,0.4397388031732707,0.6589392631090002
86,Hungary,2022,0.6426782493153859,0.4027880490293257,0.6426782493153859
53,Ireland,2007,0.2817446020327619,0.1922554595317142,0.2182106831353333
53,Ireland,2011,0.3529967066157693,0.3166199262353577,0.2977051953394872
53,Ireland,2016,0.4367239764079558,0.4340352742965242,0.318878126579779
53,Ireland,2020,0.3231819797663829,0.2947269240120898,0.259025497784768
72,Israel,2003,0.007276203891062687,0.007276203891062687,0.007247700349349819
32,Italy,2001,0.05634389819714287,0.05045246227926075,0.04467361148238096
32,Italy,2008,0.2764187127967605,0.09604220584534486,0.274739603743978
32,Italy,2013,0.4180324169819264,0.2891456547351356,0.3847759570013853
32,Italy,2018,0.560737454236658,0.3684372601585828,0.5482024511674773
71,Japan,2021,0.3066362459786096,0.1850888422253358,0.2555715584237226
87,Latvia,2006,0.3896076979873489,0.2612076024211523,0.3871415413676929
87,Latvia,2010,0.3949576997284909,0.2361663504266369,0.3949576997284909
87,Latvia,2011,0.4150987247281965,0.32323531659479,0.3941757358881415
87,Latvia,2014,0.4185638615440837,0.2960641407301093,0.417380293492754
87,Latvia,2018,0.3760734901290929,0.2710695122646317,0.3751052924608193
87,Latvia,2022,0.3652408699025854,0.2399301169655259,0.3652408699025854
88,Lithuania,2000,0.2222608393501419,0.09133795020425296,0.2173054080328193
88,Lithuania,2004,0.2948853446500044,0.1389875559711765,0.2948853446500044
88,Lithuania,2008,0.289035328855028,0.07359888972503578,0.289035328855028
88,Lithuania,2012,0.3103938934746557,0.1379835182407396,0.3103938934746557
88,Lithuania,2016,0.2690167793957485,0.1616653048756473,0.2673767020092345
88,Lithuania,2020,0.3687555722548109,0.134335631922195,0.3687555722548109
23,Luxembourg,2004,0.2159534587049375,0.1875482607958225,0.1559593837420391
23,Luxembourg,2009,0.2224955468787739,0.1046218929416863,0.2050581992117106
23,Luxembourg,2013,0.2791163447144452,0.1749105739317309,0.2367819828220159
171,Mexico,1982,0.110178500508619,0.03474873333466184,0.110178500508619
171,Mexico,1985,0.08805444123771429,0.009662213329597075,0.08805444123771429
171,Mexico,1988,0.1057152162857143,0.005980982571428573,0.1057152162857143
171,Mexico,2003,0.3769950778680879,0.2674002255189474,0.2568803806588205
171,Mexico,2006,0.347942565844523,0.1986612934679245,0.3001798849516885
171,Mexico,2009,0.4905702597333298,0.3411091007204756,0.3982418278501551
171,Mexico,2012,0.3207917459295991,0.2541563446911198,0.279009610968144
171,Mexico,2015,0.2928394284820363,0.2130342299387603,0.2523029645996673
171,Mexico,2018,0.3923554266898822,0.3481297912843426,0.3672767701185287
22,Netherlands,1946,0.06033301315337292,0.05390871750381135,0.05837196350041272
22,Netherlands,1948,0.07146272703350792,0.06102712541201327,0.07146272703350792
22,Netherlands,1981,0.008554338529333336,0.002192804443352814,0.008554338529333336
22,Netherlands,1982,0.04366253859529437,0.02190898179619015,0.04154680863042856
22,Netherlands,1986,0.02544543391550183,0.0148830488277457,0.02471330214114286
22,Netherlands,1989,0.0347939891657143,0.01020566414681752,0.0347939891657143
22,Netherlands,1994,0.07829806888413009,0.03842639877377849,0.07782707296081808
22,Netherlands,1998,0.04128538436033334,0.02336105808688889,0.04128538436033334
22,Netherlands,2002,0.0110178776,0.006316824864000004,0.0110178776
22,Netherlands,2006,0.400001379024277,0.2152921196309648,0.3931075998649621
22,Netherlands,2010,0.46122463062423,0.2503143535168999,0.4096330186543491
22,Netherlands,2012,0.5030699932254691,0.2689446394378694,0.4364181794538035
22,Netherlands,2017,0.5415425804604668,0.4746186241978105,0.4637428162482418
22,Netherlands,2021,0.5636264268004562,0.3427117246063969,0.5259702371994884
64,New Zealand,1984,0.03602845772266666,0.001045291719619045,0.03602845772266666
64,New Zealand,1993,0.3167070019195556,0.236627098048938,0.277427696354397
64,New Zealand,1996,0.037110928998,0.001387945416636362,0.037110928998
64,New Zealand,1999,0.2999026526807936,0.1481175945923466,0.285840994719365
64,New Zealand,2002,0.1492379203334921,0.06137256904855868,0.1492379203334921
64,New Zealand,2005,0.3041266337888321,0.1049178540216274,0.3041266337888321
64,New Zealand,2008,0.4460848558256033,0.2192079777544917,0.4460848558256033
64,New Zealand,2011,0.4504265456044779,0.4085922696170628,0.4287931719777656
64,New Zealand,2014,0.4495288964751783,0.1853338173075351,0.4321629207900513
64,New Zealand,2017,0.3285938619423808,0.07700106549877574,0.3285938619423808
64,New Zealand,2020,0.3789006406862222,0.04626836418013296,0.3789006406862222
12,Norway,2005,0.5420685730071559,0.3085655618825542,0.4849485646769999
12,Norway,2009,0.4074104315226277,0.2176242724893579,0.3365272813866056
12,Norway,2013,0.3927396404392777,0.255657641300533,0.3433889808362539
12,Norway,2017,0.4083241595984657,0.3337488274382276,0.350993812688
92,Poland,1991,0.05065837349793766,0.04430616941135047,0.04993238880681011
92,Poland,1993,0.3082864075949408,0.2640440215693709,0.2802258415402674
92,Poland,2001,0.2453691660443291,0.2210413585942565,0.2270296433572076
92,Poland,2007,0.3615706524524285,0.04278189193524475,0.3615706524524285
92,Poland,2011,0.3822375830743296,0.1229784747076749,0.3822375830743296
92,Poland,2015,0.5062145305869159,0.2686537915318489,0.4933759192306681
92,Poland,2019,0.5208808526577615,0.3103447703101104,0.5011539649559692
35,Portugal,1999,0.1526583883021905,0.02229948592385712,0.1454412538104176
35,Portugal,2002,0.041157117197,0.02865620811588745,0.041157117197
35,Portugal,2005,0.08589205441182252,0.01084802454915582,0.0847543483792381
35,Portugal,2011,0.2641384307451367,0.2519583456739101,0.2246032211399444
35,Portugal,2015,0.3178578781496286,0.2855864707496286,0.2236403902024139
35,Portugal,2019,0.2577379208865738,0.1615834572561874,0.2360705474126252
35,Portugal,2022,0.2239257714995918,0.1352052613470092,0.1957636467802144
93,Romania,1996,0.2495586049896791,0.1221792985391877,0.2297070602642265
93,Romania,2000,0.1924534628770823,0.07962238088944854,0.1924534628770823
93,Romania,2004,0.3017230774840342,0.1393624712728416,0.3017230774840342
93,Romania,2008,0.3390167145024362,0.06585625576385547,0.3361991005432454
93,Romania,2012,0.2859002895043324,0.09694814555150874,0.2799499565198046
93,Romania,2016,0.3269402905491491,0.2478765142684897,0.3223719494360141
96,Slovakia,1990,0.2662608564777778,0.09171676899003553,0.2662608564777778
96,Slovakia,1992,0.03485020417679608,0.02740329652105274,0.03485020417679608
96,Slovakia,1994,0.06300732550861904,0.01826867107604073,0.06300732550861904
96,Slovakia,1998,0.09722402643357145,0.02662730566866666,0.09722402643357145
96,Slovakia,2002,0.1335887778300318,0.01471421229059956,0.1335887778300318
96,Slovakia,2006,0.2478080917333333,0.08037352557035735,0.2478080917333333
96,Slovakia,2010,0.3223085426665305,0.1010084660769446,0.3223085426665305
96,Slovakia,2012,0.2787314858036741,0.1523960436283466,0.2787314858036741
96,Slovakia,2016,0.4788494076982619,0.223875942898969,0.4788494076982619
97,Slovenia,2004,0.2254311568189524,0.2034921511911867,0.1940717265309414
97,Slovenia,2008,0.2466373508997607,0.1957583668009259,0.1873550849773797
97,Slovenia,2011,0.184188294512452,0.1162176100765284,0.170602571944149
97,Slovenia,2014,0.3205707954499462,0.2302115228088131,0.29270905381145
97,Slovenia,2018,0.3287648549013467,0.1913172011320228,0.291071454530566
181,South Africa,1994,0.222591901347618,0.09277789519442309,0.222591901347618
181,South Africa,1999,0.261702469821972,0.1558706490497002,0.261702469821972
181,South Africa,2004,0.2486071012524058,0.2009454440987559,0.2486071012524058
181,South Africa,2009,0.2726619394294205,0.2088433769985487,0.2726619394294205
181,South Africa,2014,0.1976024846175439,0.1774103624623614,0.1650794661036447
181,South Africa,2019,0.3676403131342289,0.3168751387137209,0.3651043170554432
33,Spain,1996,0.1514214728148572,0.00464208826158728,0.1514214728148572
33,Spain,2000,0.1695325518812748,0.09394448822521119,0.1197239299844273
33,Spain,2004,0.006502149823315297,0.005237187788581474,0.00518414083556044
33,Spain,2008,0.09855895043637469,0.05077850115123558,0.07483972028895242
33,Spain,2011,0.1591707120059057,0.06940298503115909,0.1400228882352295
33,Spain,2015,0.2040361496342247,0.1589876422732578,0.08877676381092553
33,Spain,2016,0.2009316637824466,0.1525675933152577,0.1470150029905446
33,Spain,2019,0.353791815298736,0.1708813308388581,0.2708343779731328
33,Spain,2023,0.3052135417727391,0.1113745589941011,0.268789591271887
11,Sweden,2006,0.3636181437640782,0.2200232425905628,0.3267529490878522
11,Sweden,2010,0.2936657573107116,0.1570386684024808,0.2877310317296704
11,Sweden,2014,0.350395019104804,0.1846592828409392,0.3264724137226611
11,Sweden,2018,0.5103750199268496,0.2077447243335873,0.4864709149054298
11,Sweden,2022,0.5357995663620896,0.2065333486747009,0.5071668805716141
43,Switzerland,1999,0.4478182371240108,0.1460779101967449,0.3841021973195237
43,Switzerland,2003,0.4620289261842716,0.2397815498922684,0.4510812332866428
43,Switzerland,2007,0.6840540568113209,0.407306504220756,0.6114430383103899
43,Switzerland,2011,0.6180288935692724,0.4828436449976259,0.5886248418014025
43,Switzerland,2015,0.6292897442422916,0.3137041264523027,0.5762436243786351
43,Switzerland,2019,0.5903863543740145,0.3010080883655052,0.510072710937814
74,Turkey,1954,0.02057002408234433,0.007118594155897429,0.02057002408234433
74,Turkey,1961,0.04540638743071428,0.0159031940439365,0.04540638743071428
74,Turkey,1965,0.01159513851803175,0.001361916939190476,0.01159513851803175
74,Turkey,1969,0.02395461835377777,0.004118831379596402,0.02395461835377777
74,Turkey,1995,0.05657192998320636,0.00195821247590476,0.05657192998320636
74,Turkey,2002,0.1174385641157143,0.0174601853045238,0.1174385641157143
74,Turkey,2007,0.1646837490018226,0.06482552618975912,0.1603459569346397
74,Turkey,2011,0.2737805255513095,0.1492781571638492,0.2546772506865347
74,Turkey,2015,0.3383014408742334,0.2933516255242652,0.2482713560996465
74,Turkey,2018,0.3460606687436003,0.1869847771469639,0.3148970624032174
51,United Kingdom,1997,0.04378868889263247,0.009241166543287818,0.04378868889263247
51,United Kingdom,2001,0.1062081842083333,0.002938410266999974,0.1062081842083333
51,United Kingdom,2015,0.3652870985384913,0.1336749409610155,0.3415087080860878
51,United Kingdom,2017,0.3591837375024783,0.235312668677791,0.2572788783118351
51,United Kingdom,2019,0.554474510545097,0.3338138454589304,0.4207198178953211
51,United Kingdom,2024,0.3833538302008297,0.2298347825566813,0.3502005388614565
61,United States,1992,0.1649950287,0.04048264548214286,0.1649950287
61,United States,2004,0.5093031647093809,0.0517117100834293,0.5093031647093809
61,United States,2008,0.3040156393679999,0.04294541704007141,0.3040156393679999
61,United States,2012,0.4178657643276983,0.03333589386274602,0.4178657643276983
61,United States,2016,0.4288945311001113,0.04031410729338093,0.4288945311001113
61,United States,2020,0.4518191057602224,0.1906067040194999,0.4518191057602224
61,United States,2024,0.534584283104028,0.08003460077959595,0.534584283104028
